1,"NAGOYA BURGER 名駅店",01J12CFCZAFPGC43NJ4XXXZXPZ.jpg,"Offer Delicious Food",39,81,30991,Dayanastad,08:00:00,22:00:00,1,27,,"2024-06-23 20:07:36"
2,"NAGOYA BURGER 名駅店",stores/0.jpg,"Offer Delicious Food",39,81,30991,Dayanastad,08:00:00,22:00:00,1,27,,
3,Shanties,stores/1.jpg,"Offer Delicious Food",38,67,06524,Kuhnside,08:00:00,22:00:00,2,31,,
4,"NAGOYA BURGER 名駅店",stores/0.jpg,"Offer Delicious Food",39,81,30991,Dayanastad,08:00:00,22:00:00,1,27,,
5,Shanties,stores/1.jpg,"Offer Delicious Food",38,67,06524,Kuhnside,08:00:00,22:00:00,2,31,,
6,"割烹 柏木",stores/2.jpg,"Offer Delicious Food",20,80,99135-6589,Lucienneton,08:00:00,22:00:00,3,20,,
7,"NAGOYA BURGER 名駅店",stores/0.jpg,"Offer Delicious Food",39,81,30991,Dayanastad,08:00:00,22:00:00,1,27,,
8,Shanties,stores/1.jpg,"Offer Delicious Food",38,67,06524,Kuhnside,08:00:00,22:00:00,2,31,,
9,"割烹 柏木",stores/2.jpg,"Offer Delicious Food",20,80,99135-6589,Lucienneton,08:00:00,22:00:00,3,20,,
10,"油そば専門店ブラブラ 半田店",stores/3.jpg,"Offer Delicious Food",48,85,38438,Reichertchester,08:00:00,22:00:00,4,46,,
