301,"NAGOYA BURGER 名駅店",stores/0.jpg,"Offer Delicious Food",39,81,30991,Dayanastad,08:00:00,22:00:00,1,27,,
302,Shanties,stores/1.jpg,"Offer Delicious Food",38,67,06524,Kuhnside,08:00:00,22:00:00,2,31,,
303,"割烹 柏木",stores/2.jpg,"Offer Delicious Food",20,80,99135-6589,Lucienneton,08:00:00,22:00:00,3,20,,
304,"油そば専門店ブラブラ 半田店",stores/3.jpg,"Offer Delicious Food",48,85,38438,Reichertchester,08:00:00,22:00:00,4,46,,
305,"にく屋 浄心店",stores/4.jpg,"Offer Delicious Food",28,89,76488,"West Santiagoland",08:00:00,22:00:00,5,49,,
306,TRED,stores/5.jpg,"Offer Delicious Food",31,85,16594-8283,Hudsonfurt,08:00:00,22:00:00,1,25,,
307,きんやま,stores/6.jpg,"Offer Delicious Food",21,81,37359,Kesslertown,08:00:00,22:00:00,7,44,,
308,"NAGOYA BURGER 名古屋店",stores/7.jpg,"Offer Delicious Food",26,81,54161,"New Lauren",08:00:00,22:00:00,8,35,,
309,焼肉小山,stores/8.jpg,"Offer Delicious Food",46,67,51595-7616,Nathanport,08:00:00,22:00:00,9,47,,
310,"焼き鳥七輪 栄住吉店",stores/9.jpg,"Offer Delicious Food",43,64,52187-6080,"Lake Ashtyn",08:00:00,22:00:00,10,32,,
311,肉の庭,stores/10.jpg,"Offer Delicious Food",41,85,63870-7164,"North Sigurdmouth",08:00:00,22:00:00,11,30,,
312,"CRAFT BEER NAGOYA2",stores/11.jpg,"Offer Delicious Food",35,93,77507,Ebertview,08:00:00,22:00:00,5,31,,
313,麺屋やしろ,stores/12.jpg,"Offer Delicious Food",39,95,98020-6949,Parkerbury,08:00:00,22:00:00,13,35,,
314,"ハワイアンバーベキュー 名古屋店",stores/13.jpg,"Offer Delicious Food",49,86,40319-5012,Lorenzshire,08:00:00,22:00:00,11,32,,
315,"日本酒処 花雅",stores/14.jpg,"Offer Delicious Food",21,96,97571,Purdyview,08:00:00,22:00:00,10,29,,
316,なわ,stores/15.jpg,"Offer Delicious Food",47,52,71572-1454,"North Lucile",08:00:00,22:00:00,16,41,,
317,お酒とご飯,stores/16.jpg,"Offer Delicious Food",41,77,93208,"Port Viola",08:00:00,22:00:00,17,24,,
318,"焼肉SUKI 名古屋新幹線口店",stores/17.jpg,"Offer Delicious Food",49,97,41163-0024,"South Wilfridfort",08:00:00,22:00:00,18,24,,
319,"焼き鳥 はなれ",stores/18.jpg,"Offer Delicious Food",48,100,58127,Maggioberg,08:00:00,22:00:00,5,44,,
320,割烹旬菜花,stores/19.jpg,"Offer Delicious Food",38,84,04933,"North Bethany",08:00:00,22:00:00,17,45,,
321,"ちゃんこ屋 あかね",stores/20.jpg,"Offer Delicious Food",33,63,32404-0863,"Lake Melisa",08:00:00,22:00:00,16,36,,
322,肉の庭半田店,stores/21.jpg,"Offer Delicious Food",41,81,68132,Thelmaton,08:00:00,22:00:00,22,30,,
323,オーガニック食堂Sngi,stores/22.jpg,"Offer Delicious Food",24,91,68686-4284,Wisokyton,08:00:00,22:00:00,5,41,,
324,"寿司 やなや",stores/23.jpg,"Offer Delicious Food",45,73,60895,Williamsonberg,08:00:00,22:00:00,11,49,,
325,"ハワイアンバーベキュー 太田川店",stores/24.jpg,"Offer Delicious Food",34,99,63138,Faheybury,08:00:00,22:00:00,8,32,,
